P5,P10,P25,P50,P75,P90,P95
46.084,46.761,47.891,49.148,50.404,51.535,52.212
46.248,46.926,48.058,49.317,50.575,51.708,52.385
47.232,47.916,49.06,50.33,51.6,52.743,53.428
48.382,49.073,50.229,51.512,52.795,53.951,54.642
49.303,50.002,51.171,52.47,53.768,54.937,55.636
50.179,50.886,52.068,53.381,54.694,55.876,56.583
51.009,51.724,52.918,54.245,55.572,56.767,57.482
51.795,52.517,53.724,55.064,56.405,57.611,58.333
52.54,53.269,54.487,55.841,57.194,58.412,59.141
53.247,53.982,55.211,56.577,57.942,59.171,59.906
53.918,54.66,55.899,57.276,58.653,59.892,60.634
54.558,55.306,56.555,57.944,59.332,60.581,61.329
55.171,55.924,57.183,58.582,59.98,61.239,61.993
55.755,56.514,57.783,59.192,60.602,61.87,62.629
56.316,57.081,58.358,59.777,61.197,62.474,63.238
56.855,57.624,58.91,60.339,61.768,63.054,63.824
57.372,58.146,59.441,60.88,62.318,63.613,64.387
57.869,58.649,59.952,61.399,62.846,64.149,64.929
58.348,59.132,60.443,61.899,63.355,64.666,65.45
58.807,59.596,60.914,62.38,63.845,65.163,65.952
59.249,60.043,61.369,62.842,64.316,65.642,66.435
59.675,60.473,61.807,63.288,64.77,66.104,66.902
60.087,60.889,62.23,63.72,65.209,66.55,67.352
60.486,61.292,62.64,64.137,65.634,66.982,67.788
60.872,61.683,63.037,64.542,66.047,67.402,68.212
61.247,62.062,63.424,64.937,66.449,67.811,68.626
61.614,62.432,63.801,65.321,66.842,68.21,69.029
61.972,62.795,64.17,65.698,67.226,68.601,69.424
62.322,63.149,64.531,66.067,67.602,68.984,69.812
62.666,63.497,64.886,66.429,67.972,69.361,70.192
63.004,63.839,65.235,66.785,68.335,69.731,70.566
63.336,64.175,65.577,67.136,68.694,70.096,70.935
63.663,64.506,65.915,67.481,69.047,70.456,71.299
63.984,64.832,66.248,67.822,69.396,70.812,71.659
64.302,65.154,66.577,68.159,69.74,71.163,72.015
64.616,65.472,66.902,68.491,70.08,71.511,72.367
64.926,65.786,67.223,68.82,70.417,71.854,72.714
65.232,66.096,67.54,69.145,70.75,72.194,73.059
65.535,66.404,67.855,69.467,71.079,72.531,73.399
65.834,66.707,68.165,69.786,71.406,72.865,73.738
66.13,67.007,68.473,70.102,71.73,73.196,74.073
66.424,67.305,68.778,70.414,72.05,73.523,74.404
66.714,67.6,69.08,70.724,72.368,73.848,74.734
67.002,67.892,69.379,71.031,72.684,74.171,75.061
67.287,68.181,69.675,71.336,72.996,74.491,75.385
67.568,68.467,69.969,71.638,73.307,74.809,75.708
67.848,68.751,70.26,71.937,73.614,75.123,76.027
68.124,69.032,70.549,72.234,73.919,75.436,76.344
68.398,69.311,70.835,72.528,74.222,75.746,76.659
68.67,69.587,71.118,72.82,74.522,76.054,76.971
68.939,69.861,71.4,73.11,74.82,76.359,77.28
69.207,70.132,71.679,73.397,75.115,76.662,77.588
69.47,70.401,71.955,73.682,75.409,76.963,77.894
69.733,70.668,72.23,73.965,75.7,77.261,78.196
69.993,70.932,72.501,74.245,75.989,77.558,78.498
70.25,71.194,72.771,74.524,76.276,77.853,78.797
70.506,71.454,73.039,74.8,76.561,78.145,79.094
70.759,71.712,73.305,75.074,76.843,78.436,79.389
71.011,71.968,73.568,75.346,77.124,78.724,79.681
71.26,72.223,73.83,75.616,77.402,79.01,79.972
71.508,72.475,74.09,75.884,77.679,79.294,80.26
71.753,72.724,74.347,76.15,77.954,79.577,80.548
71.997,72.972,74.603,76.415,78.226,79.857,80.833
72.239,73.219,74.857,76.677,78.497,80.135,81.115
72.478,73.463,75.109,76.937,78.766,80.412,81.397
72.715,73.705,75.358,77.196,79.033,80.687,81.677
72.952,73.946,75.607,77.453,79.298,80.96,81.954
73.186,74.185,75.854,77.708,79.562,81.231,82.23
73.418,74.421,76.098,77.961,79.824,81.501,82.505
73.65,74.658,76.342,78.213,80.084,81.768,82.776
73.879,74.892,76.583,78.463,80.343,82.035,83.048
74.107,75.124,76.823,78.712,80.6,82.3,83.317
74.333,75.354,77.062,78.959,80.856,82.563,83.585
74.557,75.584,77.299,79.204,81.11,82.825,83.851
74.78,75.811,77.534,79.448,81.362,83.085,84.116
75.002,76.037,77.768,79.69,81.613,83.343,84.379
75.222,76.262,78,79.931,81.862,83.6,84.641
75.44,76.485,78.231,80.171,82.11,83.856,84.901
75.658,76.707,78.46,80.408,82.357,84.11,85.159
75.873,76.927,78.688,80.645,82.601,84.362,85.416
76.088,77.146,78.915,80.88,82.845,84.613,85.672
76.301,77.364,79.14,81.113,83.087,84.863,85.926
76.513,77.58,79.364,81.346,83.327,85.111,86.179
76.723,77.795,79.586,81.577,83.567,85.358,86.43
76.932,78.009,79.808,81.806,83.805,85.603,86.68
77.14,78.221,80.028,82.035,84.041,85.848,86.929
77.346,78.431,80.246,82.261,84.277,86.091,87.177
77.551,78.641,80.463,82.487,84.511,86.333,87.423
77.755,78.85,80.679,82.712,84.744,86.573,87.668
77.958,79.058,80.894,82.935,84.975,86.812,87.911
78.16,79.264,81.108,83.157,85.206,87.05,88.153
78.359,79.468,81.32,83.378,85.435,87.287,88.396
78.559,79.672,81.531,83.597,85.663,87.522,88.635
78.757,79.874,81.741,83.815,85.889,87.756,88.874
78.954,80.076,81.95,84.032,86.115,87.989,89.111
79.149,80.275,82.157,84.248,86.339,88.221,89.348
79.343,80.474,82.363,84.463,86.562,88.452,89.582
79.537,80.672,82.569,84.676,86.784,88.681,89.816
79.729,80.869,82.773,84.889,87.004,88.908,90.048
79.919,81.063,82.975,85.1,87.224,89.136,90.28
80.109,81.258,83.177,85.31,87.442,89.361,90.51
80.298,81.451,83.378,85.518,87.659,89.586,90.738
80.486,81.644,83.577,85.726,87.875,89.808,90.966
80.673,81.835,83.776,85.933,88.089,90.03,91.192
80.858,82.024,83.973,86.138,88.303,90.252,91.419
81.042,82.213,84.169,86.343,88.516,90.472,91.643
80.527,81.702,83.665,85.846,88.027,89.99,91.165
80.71,81.889,83.859,86.048,88.238,90.208,91.387
80.89,82.074,84.052,86.25,88.447,90.425,91.609
81.07,82.259,84.244,86.45,88.656,90.641,91.829
81.25,82.443,84.435,86.649,88.863,90.855,92.048
81.429,82.626,84.625,86.847,89.069,91.069,92.266
81.607,82.808,84.815,87.044,89.274,91.281,92.482
81.783,82.989,85.003,87.241,89.478,91.492,92.698
81.959,83.169,85.19,87.436,89.682,91.703,92.912
82.134,83.348,85.376,87.63,89.884,91.912,93.126
82.308,83.526,85.562,87.823,90.085,92.12,93.339
82.481,83.703,85.746,88.015,90.285,92.327,93.55
82.653,83.879,85.929,88.207,90.484,92.534,93.76
82.823,84.054,86.111,88.397,90.682,92.739,93.97
82.993,84.228,86.292,88.586,90.879,92.943,94.178
83.162,84.402,86.473,88.774,91.075,93.146,94.385
83.33,84.574,86.652,88.961,91.27,93.348,94.591
83.498,84.746,86.831,89.147,91.463,93.548,94.795
83.665,84.916,87.008,89.332,91.656,93.748,94.999
83.83,85.086,87.184,89.516,91.848,93.946,95.202
83.994,85.254,87.36,89.699,92.039,94.144,95.405
84.157,85.421,87.534,89.881,92.229,94.341,95.606
84.319,85.588,87.707,90.063,92.418,94.537,95.806
84.482,85.754,87.88,90.243,92.605,94.731,96.004
84.642,85.919,88.052,90.422,92.792,94.925,96.202
84.802,86.083,88.223,90.6,92.978,95.118,96.399
84.962,86.246,88.393,90.778,93.163,95.309,96.594
85.12,86.408,88.562,90.954,93.347,95.5,96.789
85.277,86.569,88.73,91.13,93.53,95.691,96.983
85.434,86.731,88.897,91.305,93.712,95.879,97.175
85.589,86.89,89.064,91.479,93.894,96.067,97.368
85.745,87.05,89.23,91.652,94.074,96.254,97.558
85.899,87.208,89.394,91.824,94.254,96.441,97.749
86.052,87.365,89.558,91.996,94.433,96.626,97.939
86.205,87.522,89.722,92.166,94.611,96.811,98.127
86.358,87.679,89.885,92.336,94.788,96.994,98.314
86.509,87.833,90.046,92.505,94.964,97.177,98.502
86.66,87.989,90.208,92.674,95.14,97.359,98.687
86.81,88.142,90.368,92.842,95.315,97.542,98.874
86.96,88.296,90.528,93.009,95.489,97.722,99.058
87.109,88.449,90.688,93.175,95.663,97.902,99.241
87.257,88.601,90.846,93.341,95.836,98.082,99.426
