P5,P10,P25,P50,P75,P90,P95
46.77,47.458,48.607,49.884,51.161,52.31,52.998
46.943,47.632,48.782,50.06,51.338,52.488,53.177
47.985,48.676,49.832,51.115,52.399,53.554,54.245
49.202,49.896,51.057,52.346,53.636,54.796,55.491
50.221,50.921,52.091,53.391,54.69,55.86,56.56
51.194,51.9,53.078,54.388,55.698,56.876,57.582
52.121,52.831,54.018,55.337,56.656,57.844,58.554
52.997,53.713,54.908,56.236,57.564,58.759,59.474
53.827,54.547,55.749,57.085,58.421,59.624,60.343
54.611,55.335,56.545,57.889,59.233,60.442,61.166
55.358,56.086,57.302,58.654,60.005,61.221,61.949
56.074,56.806,58.028,59.387,60.746,61.969,62.701
56.76,57.495,58.724,60.089,61.455,62.684,63.419
57.414,58.153,59.388,60.761,62.133,63.368,64.107
58.039,58.782,60.023,61.401,62.78,64.021,64.763
58.636,59.382,60.628,62.013,63.398,64.644,65.39
59.205,59.954,61.206,62.597,63.987,65.239,65.988
59.748,60.5,61.757,63.153,64.55,65.806,66.558
60.266,61.021,62.283,63.684,65.086,66.347,67.102
60.76,61.518,62.784,64.191,65.597,66.863,67.621
61.232,61.992,63.263,64.674,66.086,67.357,68.117
61.685,62.448,63.722,65.138,66.554,67.828,68.591
62.118,62.884,64.163,65.583,67.004,68.283,69.048
62.536,63.304,64.587,66.012,67.437,68.72,69.488
62.939,63.709,64.996,66.426,67.855,69.142,69.912
63.328,64.1,65.391,66.825,68.26,69.55,70.323
63.704,64.479,65.774,67.213,68.652,69.947,70.722
64.071,64.848,66.147,67.59,69.034,70.333,71.11
64.427,65.207,66.51,67.958,69.406,70.71,71.489
64.776,65.558,66.865,68.318,69.77,71.077,71.86
65.115,65.9,67.212,68.67,70.127,71.439,72.224
65.45,66.237,67.553,69.015,70.477,71.793,72.581
65.776,66.567,67.887,69.355,70.822,72.143,72.934
66.098,66.891,68.217,69.69,71.162,72.488,73.281
66.416,67.212,68.542,70.02,71.497,72.827,73.623
66.729,67.528,68.862,70.346,71.829,73.164,73.963
67.038,67.84,69.18,70.668,72.157,73.497,74.298
67.343,68.148,69.493,70.988,72.482,73.827,74.632
67.645,68.453,69.803,71.304,72.804,74.155,74.963
67.944,68.755,70.111,71.617,73.123,74.479,75.29
68.24,69.054,70.415,71.927,73.439,74.801,75.615
68.531,69.349,70.716,72.235,73.753,75.12,75.938
68.82,69.641,71.014,72.539,74.064,75.437,76.258
69.106,69.931,71.309,72.84,74.372,75.75,76.575
69.387,70.216,71.6,73.138,74.677,76.061,76.889
69.666,70.498,71.889,73.434,74.979,76.369,77.201
69.943,70.778,72.175,73.726,75.278,76.674,77.51
70.215,71.054,72.457,74.016,75.574,76.977,77.817
70.485,71.328,72.737,74.303,75.868,77.277,78.121
70.752,71.599,73.014,74.587,76.159,77.575,78.422
71.017,71.867,73.289,74.869,76.448,77.87,78.721
71.278,72.133,73.561,75.148,76.735,78.163,79.018
71.537,72.396,73.831,75.425,77.019,78.454,79.313
71.794,72.657,74.098,75.7,77.302,78.743,79.606
72.049,72.916,74.364,75.973,77.582,79.03,79.897
72.301,73.172,74.627,76.244,77.861,79.316,80.187
72.551,73.426,74.888,76.512,78.137,79.599,80.474
72.798,73.678,75.147,76.779,78.411,79.88,80.76
73.044,73.927,75.403,77.044,78.684,80.16,81.043
73.288,74.175,75.658,77.306,78.954,80.437,81.324
73.528,74.42,75.911,77.567,79.222,80.713,81.605
73.767,74.663,76.161,77.825,79.489,80.987,81.883
74.004,74.905,76.41,78.082,79.754,81.259,82.159
74.239,75.144,76.656,78.336,80.017,81.529,82.434
74.472,75.382,76.901,78.589,80.278,81.797,82.707
74.704,75.618,77.144,78.841,80.537,82.064,82.978
74.933,75.851,77.385,79.09,80.795,82.33,83.248
75.161,76.084,77.625,79.338,81.051,82.593,83.516
75.387,76.314,77.863,79.585,81.306,82.856,83.783
75.611,76.543,78.1,79.83,81.56,83.117,84.049
75.833,76.77,78.334,80.073,81.811,83.376,84.313
76.054,76.995,78.568,80.315,82.062,83.634,84.575
76.274,77.22,78.8,80.555,82.311,83.891,84.836
76.492,77.443,79.03,80.794,82.558,84.146,85.096
76.708,77.663,79.259,81.032,82.805,84.4,85.355
76.923,77.883,79.486,81.268,83.049,84.653,85.612
77.136,78.1,79.712,81.502,83.293,84.904,85.869
77.348,78.317,79.936,81.735,83.534,85.153,86.122
77.558,78.532,80.159,81.967,83.775,85.402,86.376
77.767,78.745,80.38,82.197,84.014,85.649,86.628
77.974,78.957,80.6,82.426,84.252,85.895,86.879
78.179,79.168,80.819,82.654,84.488,86.139,87.128
78.384,79.377,81.036,82.88,84.723,86.382,87.375
78.586,79.584,81.252,83.104,84.957,86.624,87.622
78.786,79.789,81.465,83.327,85.189,86.865,87.868
78.987,79.994,81.678,83.549,85.42,87.104,88.112
79.186,80.198,81.89,83.77,85.65,87.342,88.354
79.382,80.4,82.1,83.989,85.878,87.579,88.597
79.578,80.601,82.309,84.207,86.106,87.814,88.836
79.772,80.8,82.517,84.425,86.332,88.049,89.077
79.965,80.998,82.723,84.64,86.557,88.283,89.315
80.158,81.196,82.929,84.855,86.781,88.514,89.552
80.349,81.391,83.133,85.068,87.004,88.746,89.788
80.538,81.585,83.336,85.281,87.225,88.976,90.023
80.726,81.779,83.537,85.492,87.446,89.205,90.257
80.913,81.971,83.738,85.702,87.665,89.432,90.49
81.099,82.162,83.937,85.91,87.883,89.659,90.722
81.284,82.351,84.136,86.118,88.101,89.885,90.953
81.467,82.54,84.333,86.325,88.317,90.109,91.182
81.65,82.728,84.529,86.531,88.532,90.333,91.411
81.832,82.915,84.725,86.735,88.746,90.556,91.639
82.013,83.101,84.919,86.939,88.959,90.778,91.866
82.193,83.286,85.112,87.142,89.172,90.998,92.091
82.372,83.47,85.305,87.344,89.383,91.218,92.316
82.55,83.653,85.497,87.545,89.593,91.437,92.54
82.727,83.835,85.687,87.745,89.803,91.655,92.763
82.203,83.316,85.177,87.244,89.311,91.172,92.285
82.378,83.496,85.365,87.442,89.519,91.388,92.506
82.553,83.676,85.553,87.639,89.724,91.601,92.725
82.726,83.854,85.74,87.835,89.929,91.815,92.943
82.898,84.031,85.925,88.029,90.133,92.027,93.161
83.068,84.207,86.109,88.223,90.336,92.239,93.377
83.238,84.381,86.292,88.415,90.538,92.449,93.592
83.406,84.555,86.474,88.606,90.739,92.658,93.806
83.573,84.727,86.655,88.796,90.938,92.866,94.019
83.739,84.898,86.834,88.985,91.136,93.072,94.231
83.906,85.069,87.013,89.173,91.333,93.277,94.44
84.07,85.238,87.191,89.36,91.529,93.481,94.65
84.233,85.406,87.367,89.546,91.724,93.685,94.858
84.396,85.574,87.543,89.73,91.917,93.886,95.064
84.557,85.74,87.717,89.913,92.11,94.087,95.27
84.718,85.906,87.89,90.096,92.301,94.286,95.474
84.876,86.069,88.062,90.277,92.491,94.485,95.678
85.035,86.233,88.234,90.457,92.68,94.681,95.879
85.193,86.395,88.404,90.636,92.868,94.877,96.079
85.348,86.555,88.572,90.814,93.055,95.072,96.279
85.503,86.715,88.74,90.99,93.24,95.265,96.477
85.658,86.874,88.907,91.166,93.424,95.457,96.673
85.811,87.032,89.073,91.34,93.607,95.648,96.869
85.963,87.189,89.238,91.513,93.789,95.837,97.063
86.115,87.345,89.401,91.686,93.97,96.026,97.256
86.265,87.5,89.564,91.857,94.15,96.213,97.448
86.414,87.654,89.725,92.027,94.328,96.4,97.64
86.564,87.808,89.886,92.196,94.505,96.584,97.828
86.711,87.959,90.046,92.364,94.682,96.768,98.017
86.857,88.11,90.204,92.531,94.858,96.952,98.205
87.004,88.261,90.362,92.697,95.032,97.133,98.39
87.148,88.41,90.519,92.862,95.205,97.314,98.576
87.293,88.559,90.675,93.027,95.378,97.494,98.76
87.437,88.708,90.831,93.19,95.549,97.672,98.943
87.579,88.854,90.985,93.352,95.72,97.851,99.126
87.721,89,91.138,93.514,95.889,98.027,99.306
87.862,89.146,91.291,93.674,96.058,98.203,99.486
88.003,89.291,91.443,93.834,96.225,98.377,99.665
88.143,89.435,91.594,93.993,96.392,98.551,99.843
88.282,89.579,91.745,94.152,96.558,98.725,100.021
88.421,89.721,91.895,94.309,96.724,98.897,100.198
