P5,P10,P25,P50,P75,P90,P95
2.532,2.678,2.932,3.232,3.55,3.853,4.041
2.49,2.635,2.892,3.196,3.52,3.831,4.026
2.605,2.756,3.022,3.339,3.68,4.008,4.214
2.801,2.958,3.237,3.569,3.928,4.273,4.491
3.026,3.192,3.485,3.835,4.213,4.578,4.808
3.251,3.424,3.731,4.099,4.495,4.879,5.12
3.463,3.644,3.964,4.348,4.762,5.162,5.415
3.661,3.849,4.181,4.579,5.009,5.426,5.689
3.846,4.04,4.384,4.795,5.24,5.671,5.944
4.018,4.218,4.572,4.996,5.455,5.899,6.181
4.18,4.385,4.748,5.184,5.656,6.114,6.403
4.332,4.542,4.915,5.362,5.846,6.316,6.614
4.475,4.691,5.072,5.53,6.025,6.507,6.812
4.611,4.831,5.221,5.688,6.195,6.688,7.001
4.74,4.965,5.362,5.839,6.357,6.861,7.18
4.863,5.092,5.496,5.983,6.511,7.025,7.352
4.98,5.213,5.625,6.12,6.658,7.182,7.515
5.092,5.328,5.747,6.251,6.799,7.332,7.671
5.198,5.438,5.864,6.376,6.933,7.476,7.821
5.3,5.543,5.975,6.496,7.062,7.613,7.964
5.397,5.644,6.082,6.61,7.184,7.745,8.102
5.49,5.74,6.184,6.719,7.302,7.871,8.233
5.579,5.832,6.282,6.824,7.415,7.992,8.359
5.664,5.92,6.375,6.924,7.523,8.107,8.48
5.746,6.005,6.465,7.021,7.626,8.219,8.597
5.824,6.086,6.551,7.113,7.727,8.327,8.709
5.9,6.164,6.635,7.203,7.823,8.431,8.818
5.972,6.24,6.715,7.289,7.917,8.531,8.924
6.043,6.313,6.793,7.373,8.008,8.629,9.026
6.111,6.383,6.868,7.454,8.095,8.724,9.125
6.177,6.451,6.941,7.533,8.181,8.816,9.222
6.241,6.518,7.012,7.609,8.264,8.906,9.316
6.302,6.582,7.08,7.684,8.345,8.993,9.408
6.363,6.645,7.147,7.756,8.423,9.079,9.498
6.421,6.706,7.213,7.827,8.5,9.162,9.586
6.478,6.765,7.276,7.896,8.575,9.244,9.672
6.534,6.823,7.338,7.963,8.649,9.323,9.755
6.588,6.879,7.398,8.029,8.72,9.401,9.837
6.641,6.934,7.458,8.093,8.79,9.477,9.918
6.693,6.988,7.515,8.156,8.859,9.552,9.997
6.743,7.041,7.572,8.217,8.926,9.626,10.074
6.793,7.092,7.628,8.278,8.992,9.697,10.15
6.842,7.143,7.682,8.337,9.057,9.768,10.225
6.889,7.193,7.736,8.395,9.121,9.838,10.298
6.936,7.242,7.788,8.453,9.184,9.906,10.37
6.983,7.29,7.84,8.509,9.246,9.974,10.442
7.029,7.338,7.891,8.565,9.307,10.041,10.512
7.074,7.385,7.942,8.62,9.368,10.106,10.582
7.118,7.431,7.992,8.675,9.427,10.172,10.65
7.162,7.477,8.041,8.728,9.486,10.236,10.718
7.206,7.523,8.09,8.782,9.544,10.299,10.785
7.249,7.568,8.139,8.834,9.602,10.363,10.852
7.292,7.613,8.187,8.887,9.66,10.425,10.918
7.335,7.657,8.235,8.939,9.717,10.487,10.984
7.377,7.701,8.282,8.99,9.773,10.549,11.048
7.419,7.745,8.329,9.042,9.829,10.61,11.113
7.461,7.789,8.376,9.093,9.885,10.671,11.177
7.503,7.832,8.423,9.143,9.94,10.731,11.241
7.544,7.875,8.469,9.194,9.996,10.791,11.304
7.585,7.918,8.515,9.244,10.05,10.851,11.367
7.626,7.961,8.561,9.294,10.105,10.91,11.43
7.667,8.004,8.607,9.344,10.159,10.969,11.492
7.708,8.046,8.652,9.393,10.213,11.028,11.554
7.749,8.089,8.698,9.443,10.267,11.087,11.615
7.79,8.131,8.743,9.492,10.321,11.145,11.677
7.83,8.173,8.788,9.541,10.375,11.203,11.738
7.87,8.215,8.834,9.59,10.428,11.261,11.799
7.911,8.257,8.879,9.639,10.481,11.319,11.86
7.951,8.299,8.923,9.687,10.534,11.377,11.921
7.991,8.341,8.968,9.736,10.587,11.434,11.982
8.031,8.382,9.013,9.785,10.64,11.492,12.042
8.071,8.424,9.058,9.833,10.693,11.549,12.102
8.111,8.466,9.102,9.882,10.746,11.606,12.163
8.151,8.507,9.147,9.93,10.799,11.663,12.223
8.191,8.549,9.191,9.978,10.851,11.721,12.283
8.231,8.59,9.236,10.027,10.904,11.778,12.343
8.271,8.632,9.28,10.075,10.956,11.835,12.403
8.31,8.673,9.325,10.123,11.009,11.892,12.463
8.35,8.714,9.369,10.171,11.061,11.948,12.522
8.389,8.755,9.413,10.219,11.114,12.005,12.582
8.429,8.796,9.457,10.267,11.166,12.062,12.642
8.468,8.837,9.501,10.314,11.218,12.118,12.701
8.507,8.878,9.545,10.362,11.27,12.175,12.761
8.547,8.919,9.589,10.41,11.322,12.232,12.821
8.586,8.96,9.633,10.458,11.374,12.288,12.88
8.625,9.001,9.677,10.505,11.426,12.345,12.939
8.664,9.042,9.721,10.553,11.478,12.401,12.999
8.703,9.082,9.764,10.601,11.53,12.458,13.058
8.742,9.123,9.808,10.648,11.582,12.514,13.118
8.781,9.164,9.852,10.696,11.634,12.571,13.178
8.82,9.204,9.895,10.743,11.686,12.627,13.237
8.859,9.245,9.939,10.791,11.738,12.684,13.297
8.898,9.285,9.983,10.839,11.79,12.741,13.356
8.937,9.326,10.027,10.886,11.842,12.797,13.416
8.975,9.367,10.07,10.934,11.895,12.854,13.476
9.014,9.407,10.114,10.982,11.947,12.911,13.536
9.053,9.448,10.158,11.029,11.999,12.968,13.596
9.092,9.488,10.202,11.077,12.052,13.025,13.656
9.131,9.529,10.245,11.125,12.104,13.082,13.716
9.17,9.569,10.289,11.173,12.156,13.139,13.777
9.209,9.61,10.333,11.221,12.209,13.196,13.837
9.247,9.651,10.377,11.268,12.261,13.254,13.898
9.286,9.691,10.421,11.316,12.314,13.311,13.958
9.325,9.732,10.465,11.364,12.367,13.368,14.019
9.364,9.773,10.508,11.412,12.419,13.426,14.079
9.403,9.813,10.552,11.46,12.472,13.484,14.14
9.442,9.854,10.596,11.508,12.525,13.541,14.201
9.48,9.894,10.64,11.556,12.578,13.599,14.262
9.519,9.935,10.684,11.605,12.63,13.657,14.323
9.558,9.975,10.728,11.653,12.683,13.714,14.384
9.596,10.016,10.772,11.701,12.736,13.772,14.444
9.635,10.056,10.815,11.749,12.789,13.83,14.505
9.673,10.097,10.859,11.796,12.842,13.887,14.567
9.712,10.137,10.903,11.844,12.894,13.945,14.628
9.75,10.177,10.946,11.892,12.947,14.003,14.689
9.789,10.217,10.99,11.94,13,14.06,14.749
9.827,10.257,11.033,11.988,13.052,14.118,14.81
9.865,10.297,11.077,12.035,13.105,14.175,14.871
9.902,10.337,11.12,12.083,13.157,14.233,14.932
9.94,10.376,11.163,12.13,13.209,14.29,14.992
9.978,10.416,11.206,12.177,13.261,14.347,15.053
10.015,10.455,11.248,12.224,13.313,14.404,15.114
10.052,10.494,11.291,12.271,13.365,14.461,15.174
10.089,10.533,11.333,12.318,13.417,14.518,15.234
10.126,10.572,11.375,12.364,13.468,14.575,15.294
10.163,10.611,11.417,12.411,13.52,14.631,15.354
10.2,10.649,11.459,12.457,13.571,14.688,15.414
10.236,10.687,11.501,12.503,13.622,14.744,15.474
10.272,10.725,11.542,12.549,13.673,14.8,15.533
10.308,10.763,11.584,12.594,13.724,14.856,15.592
10.344,10.801,11.625,12.64,13.774,14.912,15.652
10.38,10.838,11.666,12.685,13.825,14.967,15.711
10.415,10.876,11.707,12.731,13.875,15.023,15.77
10.45,10.913,11.747,12.776,13.925,15.078,15.828
10.485,10.95,11.788,12.82,13.975,15.133,15.887
10.52,10.987,11.828,12.865,14.025,15.188,15.946
10.555,11.023,11.868,12.91,14.074,15.243,16.005
10.59,11.06,11.908,12.954,14.124,15.298,16.063
10.624,11.096,11.948,12.999,14.173,15.353,16.121
10.658,11.132,11.988,13.043,14.223,15.408,16.18
10.693,11.168,12.027,13.087,14.272,15.462,16.237
10.727,11.204,12.067,13.131,14.321,15.517,16.296
10.76,11.24,12.106,13.175,14.37,15.571,16.354
10.794,11.276,12.146,13.219,14.419,15.626,16.412
10.828,11.312,12.185,13.262,14.468,15.68,16.47
10.862,11.347,12.224,13.306,14.517,15.735,16.528
10.895,11.383,12.263,13.35,14.566,15.789,16.586
10.929,11.418,12.302,13.393,14.615,15.844,16.644
10.962,11.453,12.341,13.437,14.664,15.898,16.702
10.995,11.489,12.38,13.48,14.713,15.953,16.761
11.028,11.524,12.419,13.524,14.762,16.007,16.819
11.062,11.559,12.457,13.567,14.81,16.061,16.877
11.095,11.594,12.496,13.61,14.859,16.116,16.936
11.128,11.629,12.535,13.654,14.908,16.171,16.994
11.161,11.664,12.573,13.697,14.957,16.225,17.052
11.193,11.699,12.612,13.74,15.006,16.28,17.111
11.226,11.733,12.651,13.784,15.055,16.335,17.17
11.259,11.768,12.689,13.827,15.104,16.389,17.228
11.292,11.803,12.728,13.87,15.153,16.444,17.287
11.324,11.838,12.766,13.914,15.202,16.499,17.346
11.357,11.872,12.804,13.957,15.251,16.554,17.405
11.389,11.907,12.843,14,15.3,16.609,17.464
11.422,11.941,12.881,14.044,15.349,16.664,17.523
11.454,11.976,12.919,14.087,15.398,16.719,17.582
11.487,12.01,12.958,14.13,15.447,16.774,17.641
11.519,12.044,12.996,14.173,15.496,16.829,17.701
11.551,12.079,13.034,14.216,15.545,16.884,17.76
11.583,12.113,13.072,14.26,15.594,16.94,17.819
11.615,12.147,13.11,14.303,15.643,16.995,17.879
11.647,12.181,13.148,14.346,15.692,17.05,17.939
11.679,12.215,13.186,14.389,15.741,17.106,17.998
11.711,12.249,13.224,14.432,15.79,17.161,18.058
