P5,P10,P25,P50,P75,P90,P95
2.507,2.604,2.865,3.027,3.346,3.878,4.011
2.485,2.58,2.838,3,3.317,3.85,3.983
2.628,2.726,2.992,3.159,3.488,4.04,4.18
2.849,2.952,3.232,3.407,3.753,4.334,4.48
3.105,3.214,3.51,3.695,4.06,4.674,4.828
3.362,3.477,3.788,3.983,4.367,5.012,5.174
3.608,3.728,4.054,4.258,4.659,5.332,5.502
3.838,3.964,4.302,4.514,4.93,5.628,5.804
4.053,4.183,4.533,4.752,5.182,5.902,6.083
4.254,4.388,4.748,4.973,5.415,6.155,6.341
4.442,4.579,4.948,5.179,5.632,6.39,6.58
4.618,4.759,5.136,5.372,5.835,6.608,6.803
4.784,4.927,5.312,5.552,6.024,6.813,7.011
4.939,5.085,5.477,5.722,6.202,7.004,7.205
5.086,5.234,5.632,5.881,6.369,7.183,7.388
5.224,5.374,5.779,6.031,6.527,7.353,7.56
5.354,5.507,5.917,6.174,6.676,7.513,7.723
5.478,5.633,6.049,6.308,6.817,7.665,7.878
5.595,5.752,6.173,6.436,6.951,7.81,8.026
5.707,5.865,6.292,6.558,7.079,7.949,8.167
5.813,5.973,6.405,6.674,7.202,8.081,8.302
5.914,6.076,6.513,6.785,7.319,8.208,8.431
6.01,6.175,6.616,6.891,7.431,8.33,8.556
6.102,6.268,6.715,6.993,7.538,8.447,8.675
6.19,6.358,6.809,7.09,7.641,8.559,8.79
6.274,6.444,6.899,7.183,7.739,8.667,8.9
6.355,6.526,6.986,7.273,7.834,8.771,9.007
6.432,6.605,7.069,7.359,7.926,8.872,9.11
6.507,6.681,7.15,7.442,8.015,8.97,9.21
6.578,6.754,7.227,7.522,8.1,9.064,9.307
6.647,6.825,7.302,7.599,8.183,9.156,9.4
6.714,6.893,7.374,7.674,8.263,9.245,9.492
6.779,6.959,7.444,7.747,8.34,9.331,9.58
6.841,7.023,7.512,7.817,8.416,9.415,9.666
6.902,7.085,7.578,7.886,8.489,9.497,9.75
6.96,7.145,7.642,7.952,8.56,9.576,9.832
7.018,7.204,7.704,8.017,8.63,9.654,9.912
7.073,7.261,7.765,8.08,8.698,9.73,9.99
7.128,7.317,7.825,8.142,8.764,9.804,10.066
7.181,7.371,7.883,8.202,8.829,9.877,10.141
7.233,7.425,7.94,8.262,8.893,9.949,10.215
7.284,7.477,7.996,8.32,8.956,10.019,10.287
7.334,7.528,8.051,8.377,9.017,10.088,10.358
7.383,7.578,8.104,8.433,9.077,10.156,10.428
7.431,7.628,8.157,8.488,9.137,10.223,10.496
7.479,7.677,8.209,8.542,9.195,10.289,10.564
7.526,7.725,8.261,8.595,9.253,10.354,10.631
7.572,7.772,8.311,8.648,9.31,10.418,10.697
7.617,7.819,8.361,8.7,9.366,10.481,10.763
7.662,7.865,8.411,8.752,9.422,10.544,10.827
7.707,7.911,8.459,8.802,9.477,10.606,10.891
7.751,7.956,8.508,8.853,9.531,10.668,10.955
7.794,8,8.556,8.903,9.585,10.729,11.018
7.837,8.045,8.603,8.952,9.638,10.789,11.08
7.88,8.088,8.65,9.001,9.691,10.85,11.142
7.922,8.132,8.696,9.05,9.744,10.909,11.203
7.964,8.175,8.743,9.098,9.796,10.968,11.264
8.006,8.218,8.788,9.145,9.848,11.027,11.324
8.047,8.26,8.834,9.193,9.899,11.085,11.385
8.088,8.302,8.879,9.24,9.95,11.143,11.444
8.128,8.344,8.924,9.287,10.001,11.201,11.504
8.169,8.385,8.968,9.333,10.051,11.258,11.563
8.209,8.426,9.012,9.379,10.102,11.315,11.622
8.249,8.467,9.056,9.425,10.152,11.372,11.681
8.288,8.508,9.1,9.471,10.201,11.429,11.739
8.327,8.548,9.144,9.517,10.251,11.485,11.797
8.366,8.588,9.187,9.562,10.3,11.541,11.855
8.405,8.629,9.23,9.607,10.349,11.597,11.913
8.444,8.668,9.273,9.652,10.398,11.653,11.971
8.483,8.708,9.316,9.697,10.447,11.709,12.028
8.521,8.748,9.359,9.741,10.495,11.764,12.085
8.56,8.787,9.401,9.786,10.544,11.82,12.143
8.598,8.826,9.443,9.83,10.592,11.875,12.2
8.636,8.865,9.485,9.874,10.64,11.93,12.257
8.674,8.904,9.528,9.918,10.688,11.985,12.313
8.711,8.943,9.569,9.962,10.736,12.04,12.37
8.749,8.982,9.611,10.006,10.784,12.095,12.427
8.786,9.02,9.653,10.049,10.831,12.149,12.483
8.823,9.059,9.694,10.093,10.879,12.204,12.54
8.86,9.097,9.735,10.136,10.926,12.258,12.596
8.897,9.135,9.776,10.179,10.973,12.313,12.652
8.934,9.173,9.818,10.222,11.02,12.367,12.708
8.971,9.211,9.859,10.265,11.067,12.421,12.764
9.007,9.248,9.899,10.308,11.114,12.475,12.82
9.044,9.286,9.94,10.351,11.161,12.529,12.877
9.08,9.323,9.981,10.393,11.208,12.583,12.932
9.116,9.361,10.021,10.436,11.255,12.637,12.988
9.153,9.398,10.062,10.479,11.301,12.691,13.044
9.189,9.435,10.102,10.521,11.348,12.745,13.1
9.225,9.473,10.143,10.564,11.395,12.799,13.156
9.261,9.51,10.183,10.606,11.441,12.853,13.212
9.297,9.547,10.223,10.648,11.488,12.907,13.268
9.332,9.584,10.264,10.691,11.534,12.961,13.324
9.368,9.621,10.304,10.733,11.581,13.015,13.38
9.404,9.658,10.344,10.775,11.627,13.069,13.436
9.44,9.694,10.384,10.817,11.673,13.123,13.491
9.475,9.731,10.424,10.859,11.72,13.177,13.547
9.511,9.768,10.464,10.901,11.766,13.231,13.603
9.546,9.805,10.504,10.943,11.812,13.285,13.659
9.581,9.841,10.544,10.985,11.859,13.339,13.715
9.617,9.878,10.583,11.027,11.905,13.392,13.771
9.652,9.914,10.623,11.069,11.951,13.446,13.827
9.687,9.95,10.663,11.111,11.997,13.5,13.883
9.722,9.987,10.702,11.153,12.043,13.554,13.938
9.757,10.023,10.742,11.194,12.089,13.608,13.994
9.792,10.059,10.781,11.236,12.135,13.661,14.05
9.827,10.095,10.821,11.277,12.181,13.715,14.106
9.862,10.131,10.86,11.319,12.227,13.769,14.161
9.896,10.167,10.899,11.36,12.273,13.822,14.217
9.931,10.203,10.938,11.401,12.318,13.876,14.272
9.965,10.238,10.977,11.442,12.364,13.929,14.328
10,10.274,11.016,11.483,12.409,13.982,14.383
10.034,10.309,11.055,11.524,12.454,14.035,14.438
10.068,10.344,11.093,11.565,12.499,14.088,14.493
10.102,10.379,11.132,11.605,12.544,14.141,14.548
10.136,10.414,11.17,11.646,12.589,14.193,14.603
10.169,10.449,11.208,11.686,12.634,14.246,14.657
10.202,10.484,11.246,11.726,12.678,14.298,14.712
10.236,10.518,11.284,11.766,12.722,14.351,14.766
10.269,10.552,11.321,11.806,12.767,14.402,14.82
10.302,10.587,11.359,11.845,12.81,14.454,14.874
10.335,10.621,11.396,11.885,12.854,14.506,14.927
10.367,10.655,11.433,11.924,12.898,14.557,14.981
10.4,10.688,11.47,11.963,12.941,14.608,15.034
10.432,10.721,11.507,12.002,12.984,14.659,15.087
10.464,10.755,11.543,12.041,13.027,14.71,15.14
10.496,10.788,11.58,12.079,13.07,14.76,15.192
10.528,10.821,11.616,12.117,13.113,14.811,15.245
10.56,10.854,11.652,12.156,13.155,14.861,15.297
10.591,10.887,11.688,12.194,13.197,14.911,15.349
10.623,10.919,11.724,12.231,13.24,14.961,15.401
10.654,10.952,11.759,12.269,13.281,15.01,15.452
10.685,10.984,11.795,12.307,13.323,15.059,15.504
10.716,11.016,11.83,12.344,13.365,15.109,15.555
10.747,11.048,11.865,12.381,13.406,15.158,15.606
10.778,11.08,11.9,12.418,13.447,15.206,15.657
10.808,11.111,11.935,12.455,13.488,15.255,15.707
10.838,11.143,11.969,12.491,13.529,15.304,15.758
10.869,11.174,12.004,12.528,13.57,15.352,15.808
10.899,11.205,12.038,12.564,13.611,15.4,15.858
10.929,11.236,12.072,12.601,13.651,15.448,15.908
10.959,11.267,12.107,12.637,13.691,15.496,15.958
10.988,11.298,12.141,12.673,13.731,15.543,16.008
11.018,11.329,12.174,12.709,13.772,15.591,16.057
11.048,11.36,12.208,12.745,13.811,15.639,16.107
11.077,11.39,12.242,12.78,13.851,15.686,16.156
11.106,11.421,12.275,12.816,13.891,15.733,16.205
11.136,11.451,12.309,12.851,13.931,15.78,16.255
11.165,11.481,12.342,12.887,13.97,15.827,16.304
11.194,11.512,12.376,12.922,14.009,15.874,16.352
11.223,11.542,12.409,12.957,14.049,15.921,16.401
11.252,11.572,12.442,12.992,14.088,15.967,16.45
11.281,11.602,12.475,13.027,14.127,16.014,16.498
11.31,11.632,12.508,13.062,14.166,16.061,16.547
11.339,11.662,12.541,13.097,14.205,16.107,16.595
11.368,11.692,12.574,13.132,14.244,16.153,16.644
11.396,11.722,12.607,13.167,14.283,16.2,16.692
11.425,11.751,12.64,13.202,14.322,16.246,16.74
11.454,11.781,12.672,13.237,14.361,16.292,16.788
11.482,11.811,12.705,13.271,14.4,16.339,16.837
11.511,11.84,12.738,13.306,14.438,16.385,16.885
11.539,11.87,12.77,13.341,14.477,16.431,16.933
11.568,11.9,12.803,13.375,14.516,16.477,16.981
11.596,11.929,12.836,13.41,14.554,16.523,17.029
11.625,11.959,12.868,13.444,14.593,16.569,17.077
11.653,11.988,12.901,13.479,14.632,16.615,17.125
11.682,12.018,12.933,13.513,14.67,16.661,17.173
11.71,12.047,12.966,13.548,14.709,16.707,17.221
11.739,12.077,12.998,13.582,14.747,16.753,17.269
11.767,12.106,13.031,13.617,14.786,16.799,17.317
11.795,12.135,13.063,13.651,14.824,16.845,17.365
11.824,12.165,13.096,13.685,14.863,16.89,17.413
11.852,12.194,13.128,13.72,14.901,16.936,17.461
11.88,12.224,13.16,13.754,14.94,16.982,17.509
11.909,12.253,13.193,13.789,14.978,17.028,17.556
11.937,12.283,13.225,13.823,15.017,17.074,17.604
11.965,12.312,13.258,13.857,15.055,17.12,17.653
11.993,12.341,13.29,13.892,15.094,17.166,17.701
12.022,12.371,13.322,13.926,15.132,17.212,17.749
12.05,12.4,13.355,13.96,15.171,17.258,17.797
12.078,12.429,13.387,13.995,15.209,17.304,17.845
12.106,12.458,13.419,14.029,15.248,17.351,17.893
12.134,12.488,13.452,14.063,15.286,17.397,17.941
12.162,12.517,13.484,14.098,15.325,17.443,17.989
12.191,12.546,13.516,14.132,15.363,17.489,18.037
12.219,12.575,13.549,14.166,15.402,17.535,18.086
12.247,12.604,13.581,14.201,15.44,17.581,18.134
12.275,12.634,13.613,14.235,15.478,17.627,18.182
12.303,12.663,13.645,14.269,15.517,17.673,18.23
12.331,12.692,13.677,14.303,15.555,17.719,18.278
